target,scenario,year,baseline_forecast,with_events_forecast,lower_95,upper_95,event_delta
ACC_OWNERSHIP,pessimistic,2025,51.165517241379284,51.165517241379284,36.12285517241378,66.20817931034479,0.0
ACC_OWNERSHIP,pessimistic,2026,53.33103448275857,53.33103448275857,37.65171034482755,69.01035862068959,0.0
ACC_OWNERSHIP,pessimistic,2027,55.49655172413785,55.49655172413785,39.18056551724133,71.81253793103437,0.0
ACC_OWNERSHIP,base,2025,51.70689655172411,51.70689655172411,36.50506896551722,66.90872413793099,0.0
ACC_OWNERSHIP,base,2026,54.41379310344821,54.41379310344821,38.416137931034434,70.41144827586197,0.0
ACC_OWNERSHIP,base,2027,57.12068965517231,57.12068965517231,40.32720689655166,73.91417241379297,0.0
ACC_OWNERSHIP,optimistic,2025,52.24827586206892,52.24827586206892,36.88728275862066,67.60926896551719,0.0
ACC_OWNERSHIP,optimistic,2026,55.496551724137845,55.496551724137845,39.18056551724132,71.81253793103437,0.0
ACC_OWNERSHIP,optimistic,2027,58.744827586206775,58.744827586206775,41.47384827586198,76.01580689655157,0.0
USG_P2P_COUNT (usage proxy),pessimistic,2025,112580000.0000261,112580000.0000261,79481480.00001843,145678520.0000338,0.0
USG_P2P_COUNT (usage proxy),pessimistic,2026,175460000.0000522,175460000.0000522,123874760.00003687,227045240.00006756,0.0
USG_P2P_COUNT (usage proxy),pessimistic,2027,238340000.0000783,238340000.0000783,168268040.00005528,308411960.0001013,0.0
USG_P2P_COUNT (usage proxy),base,2025,128300000.00003262,128300000.00003262,90579800.00002304,166020200.0000422,0.0
USG_P2P_COUNT (usage proxy),base,2026,206900000.00006524,206900000.00006524,146071400.00004607,267728600.0000844,0.0
USG_P2P_COUNT (usage proxy),base,2027,285500000.0000979,285500000.0000979,201563000.0000691,369437000.0001266,0.0
USG_P2P_COUNT (usage proxy),optimistic,2025,144020000.00003916,144020000.00003916,101678120.00002766,186361880.00005066,0.0
USG_P2P_COUNT (usage proxy),optimistic,2026,238340000.0000783,238340000.0000783,168268040.00005528,308411960.0001013,0.0
USG_P2P_COUNT (usage proxy),optimistic,2027,332660000.0001174,332660000.0001174,234857960.0000829,430462040.00015193,0.0
